chr;pos;strand;Name;Islands_Name;Relation_to_Island;UCSC_RefGene_Name;UCSC_RefGene_Accession;UCSC_RefGene_Group;Phantom;DMR;Enhancer;HMM_Island;Regulatory_Feature_Name;Regulatory_Feature_Group;DHS;logFC;AveExpr;t;P.Value;adj.P.Val;B
chrX;100742903;+;cg07318999;chrX:100740221-100740601;S_Shelf;ARMCX4;NR_028407;Body;;;;;;;;-0.297182017366947;0.752768773684211;-44.0375787169518;6.88135849909768e-34;2.73943128380806e-29;65.0900826186772
chrX;48842038;+;cg23317607;;OpenSea;"GRIPAP1;GRIPAP1";"NM_207672;NM_020137";"Body;Body";;;;;;;;-0.290086152661064;0.697711607894737;-43.3776416267751;1.19919192560033e-33;4.37609117490073e-29;64.6254752759041
chrX;153276960;-;cg08401365;;OpenSea;"IRAK1;IRAK1;IRAK1";"NM_001025242;NM_001569;NM_001025243";"3'UTR;3'UTR;3'UTR";;;;;;;;-0.301543972829132;0.682343760526316;-42.8597441455628;1.8649682026488e-33;6.28213104471322e-29;64.2542840989962
chrX;152937549;+;cg01037726;chrX:152938634-152939544;N_Shore;"PNCK;PNCK";"NM_001039582;NM_001135740";"Body;Body";;;;;;;;-0.291443844722551;0.730012357108025;-42.4160719774608;2.73367827720655e-33;8.55063323072754e-29;63.9315831138479
chrX;18720556;+;cg18811184;;OpenSea;"PPEF1;PPEF1;PPEF1";"NM_152226;NM_152224;NM_006240";"5'UTR;5'UTR;5'UTR";;;TRUE;;;;;-0.29837034929972;0.762599481578947;-42.1838953318817;3.34443073657858e-33;9.76359731513804e-29;63.7609500470991
chrX;68062746;-;cg20950264;chrX:68060178-68060558;S_Shelf;;;;;;TRUE;;;;;-0.293044972829132;0.730610976315789;-42.0004684401599;3.9249743269748e-33;1.07422622354973e-28;63.6252782842559
chrX;49020468;-;cg04012614;chrX:49022407-49023072;N_Shore;"MAGIX;MAGIX;MAGIX;MAGIX;MAGIX";"NM_001099681;NM_001099680;NM_001099682;NM_024859;NM_001099680";"Body;1stExon;Body;Body;5'UTR";;;;X:48906667-48907519;;;;0.466393486022409;0.363775344473684;39.4764045018985;3.81172302245014e-32;9.81863975542946e-28;61.6773079986724
chrX;132096915;-;cg00098732;;OpenSea;"HS6ST2;HS6ST2";"NM_001077188;NM_147175";"TSS1500;TSS1500";;;;;;;;-0.284071064639399;0.772096003139506;-38.9729008122154;6.09909188601432e-32;1.48378707402956e-27;61.2697739311833
chrX;18908380;-;cg13920260;;OpenSea;LOC100132163;NR_029379;TSS200;;;;;;;;-0.316823003361345;0.735323421052632;-38.1225665285566;1.36711509219129e-31;3.15086930174177e-27;60.5663569978319
chrX;132549003;-;cg06558166;chrX:132547567-132550284;Island;"GPC4;GPC4";"NM_001448;NM_001448";"5'UTR;1stExon";;;;X:132376001-132377979;;;TRUE;0.449657575070028;0.396976181578947;37.7572192626653;1.94403977610914e-31;4.25651397058648e-27;60.258129075251
chrX;129519560;-;cg21700475;;OpenSea;GPR119;NM_178471;TSS200;;;;;;;;-0.306331841736695;0.704341244736842;-37.6367958656675;2.18479795422124e-31;4.55586553973952e-27;60.1557258332946
chrX;39684999;-;cg02857405;chrX:39680140-39681418;S_Shelf;;;;;;;;;;;-0.31665633977591;0.776994865789474;-37.1095177625302;3.65813125939865e-31;7.28141050461685e-27;59.702562560427
chrX;152069138;-;cg20844690;chrX:152066196-152066811;S_Shelf;;;;;;;;;;;-0.274136859663865;0.765211902631579;-36.866755952687;4.64875136776153e-31;8.85089921281846e-27;59.4912665955555
chrX;129192712;+;cg00130498;chrX:129194007-129194703;N_Shore;;;;;;;;;;;-0.285002602013672;0.67850997145327;-36.8078116848507;4.92838871976809e-31;8.99233805808886e-27;59.4397063739898
chrX;148709321;-;cg03321558;chrX:148712839-148713679;N_Shelf;TMEM185A;NM_032508;Body;;;;;;;;-0.273472352380952;0.693516742105263;-36.6091075326837;6.0049364563629e-31;1.04027721154795e-26;59.2651511677867
chrX;129519523;+;cg13645631;;OpenSea;GPR119;NM_178471;TSS200;;;;;;;;-0.319368757703081;0.656540892105263;-36.5808563121652;6.17651528651182e-31;1.04027721154795e-26;59.24023989684
chrX;18458900;+;cg24590452;;OpenSea;"CDKL5;CDKL5";"NM_001037343;NM_003159";"TSS1500;5'UTR";;;;;;;;-0.236631744257703;0.811298707894737;-36.4521340982062;7.02432067442862e-31;1.13925115578333e-26;59.1264393668175
chrX;112066508;+;cg14605748;;OpenSea;"AMOT;AMOT";"NM_001113490;NM_133265";"TSS200;5'UTR";;;;;;;;-0.246321809243697;0.799210413157895;-35.7845187028983;1.37833055093952e-30;2.11087978332621e-26;58.5283162321582
chrX;152771994;+;cg06190216;;OpenSea;BGN;NM_001711;Body;low-CpG:152425186-152425543;;;;;;;-0.312661952941176;0.745168984210526;-35.7706653407018;1.39792086202593e-30;2.11087978332621e-26;58.5157627754547
chrX;151374946;-;cg16968020;;OpenSea;GABRA3;NM_000808;Body;;;;;;;;-0.308291222969188;0.660516105263158;-35.4781106272011;1.88558050076828e-30;2.70183066620947e-26;58.2492888531975
chrX;152086723;-;cg16022279;;OpenSea;ZNF185;NM_007150;Body;;;;;;;;-0.267172628011205;0.724846815789474;-35.4642199388801;1.91267379728191e-30;2.70183066620947e-26;58.2365710759846
chrX;119028918;-;cg11531236;;OpenSea;"AKAP14;AKAP14;AKAP14";"NM_178813;NM_001008534;NM_001008535";"TSS1500;TSS1500;TSS1500";;;;;;;;-0.262622158543417;0.714206684210526;-35.2857504082507;2.29852981822467e-30;3.14542312974955e-26;58.0726394734664
chrX;129258475;+;cg05807734;chrX:129254555-129255097;S_Shelf;;;;;;;;;;;-0.257160661904762;0.789048097368421;-34.5500380148683;4.94901958238807e-30;6.56725900365475e-26;57.3862788085308
chrX;73071194;+;cg05533223;;OpenSea;XIST;NR_001564;Body;;;;X:72987766-72988101;X:73070702-73071295;Unclassified_Cell_type_specific;;-0.284988450140056;0.791937471052632;-34.502203656189;5.20481252873118e-30;6.70355360465147e-26;57.3410542743117
chrX;48812173;+;cg22946377;chrX:48814267-48815894;N_Shelf;"OTUD5;OTUD5;OTUD5;OTUD5";"NM_001136158;NM_001136159;NM_017602;NM_001136157";"Body;5'UTR;Body;Body";;;;;;;;-0.278086128291317;0.703545647368421;-34.4138250402305;5.71368935841144e-30;7.14870692801659e-26;57.2573024084509
chrX;128810342;-;cg09820479;chrX:128812232-128812519;N_Shore;;;;;;;;;;;-0.336365474789916;0.727109934210526;-34.1471552514266;7.58140731716845e-30;9.22202386060371e-26;57.0030479556978
chrX;103087077;-;cg10421300;chrX:103087020-103087314;Island;"RAB9B;RAB9B";"NM_016370;NM_016370";"1stExon;5'UTR";;;TRUE;X:102973251-102973940;X:103086328-103087663;Unclassified;TRUE;0.436808206666666;0.317459568947368;34.094163869489;8.02169192663563e-30;9.49386751740932e-26;56.9522453470948
chrX;68048001;-;cg02775175;chrX:68048659-68050252;N_Shore;EFNB1;NM_004429;TSS1500;;;;X:67964550-67964959;X:68047578-68048227;Unclassified;;0.420976845434174;0.315080615263158;33.9718959198394;9.14048688445121e-30;1.05333046543387e-25;56.8346728655709
chrX;49855003;+;cg08871010;;OpenSea;"CLCN5;CLCN5;CLCN5";"NM_001127898;NM_001127899;NM_000084";"Body;Body;Body";;;;;;;;-0.275484720448179;0.764364726315789;-33.6860671252678;1.24244450379136e-29;1.39505491791859e-25;56.5578747897128
chrX;149822475;+;cg22655582;;OpenSea;MTM1;NM_000252;Body;;;;;X:149822256-149822477;Gene_Associated_Cell_type_specific;;-0.269736768627451;0.806652678947368;-33.5945839509686;1.37141220277542e-29;1.50136722311042e-25;56.4687012830377
chrX;123039177;-;cg06742180;;OpenSea;XIAP;NM_001167;Body;;;;;;;;-0.251462529691877;0.735479871052632;-33.4907102021907;1.53462105783089e-29;1.63906512123995e-25;56.3671058325066
chrX;19008190;+;cg01109660;;OpenSea;"GPR64;GPR64;GPR64;GPR64";"NM_005756;NM_001079859;NM_001079860;NM_001079858";"3'UTR;3'UTR;3'UTR;3'UTR";;;;;;;;-0.271692323621125;0.662874626585192;-33.4175726432587;1.66138318943533e-29;1.69926417434003e-25;56.2953518327801
chrX;37710057;-;cg08236172;chrX:37706295-37706972;S_Shelf;;;;;;;;;;;-0.277169813165266;0.732299102631579;-33.4135865174435;1.66859310480428e-29;1.69926417434003e-25;56.2914358589802
chrX;132092564;-;cg26777760;chrX:132090363-132092617;Island;"HS6ST2;HS6ST2";"NM_147175;NM_001077188";"Body;Body";high-CpG:131919948-131920336;;;X:131917980-131920472;X:132092559-132092862;Unclassified_Cell_type_specific;;0.518312757310924;0.426969211578947;33.3184236243081;1.85059034350213e-29;1.84177480404763e-25;56.1977860029051
chrX;55513504;+;cg17808461;chrX:55515067-55515544;N_Shore;USP51;NM_201286;Body;;;;;;;;-0.280705837815126;0.711676513157895;-33.1771499271658;2.15912352423205e-29;2.10108628390069e-25;56.0581835446519
chrX;132087774;-;cg08139636;chrX:132090363-132092617;N_Shelf;"HS6ST2;HS6ST2";"NM_147175;NM_001077188";"Body;Body";;;;;;;;-0.283247202240896;0.701739663157895;-33.0289648728814;2.53985085380661e-29;2.4178496701855e-25;55.9110083140144
chrX;118827889;-;cg21501064;chrX:118828038-118828257;N_Shore;"SEPT6;SEPT6;SEPT6;SEPT6";"NM_015129;NM_145800;NM_145802;NM_145799";"TSS1500;TSS1500;TSS1500;TSS1500";;;;X:118710331-118712254;X:118825912-118827912;Promoter_Associated;;-0.302117138655462;0.642613181578947;-32.9881901650627;2.65624072228383e-29;2.47484773883187e-25;55.8703772187269
chrX;53028582;-;cg14930000;chrX:53029708-53030093;N_Shore;;;;;CDMR;;;;;;-0.280085972268908;0.687913576315789;-32.2374136306581;6.11844419754566e-29;5.5818566414209e-25;55.1117203268893
chrX;37850402;-;cg23476112;;OpenSea;CXorf27;NM_012274;1stExon;;;;;;;;-0.27178151092437;0.801898836842105;-32.2063746516644;6.33565267272171e-29;5.66205642448066e-25;55.0799196119663
chrX;53285917;+;cg21909948;chrX:53283829-53284038;S_Shore;"IQSEC2;IQSEC2";"NM_015075;NM_001111125";"Body;Body";;;TRUE;;;;;-0.249545999439776;0.726153547368421;-31.7797655981266;1.02662586450119e-28;8.99127145137062e-25;54.6392589188373
chrX;30994266;+;cg03959079;;OpenSea;;;;;;;;;;;-0.294743443417367;0.728854518421053;-31.6607915673437;1.17581488773013e-28;1.00959616195407e-24;54.5151630191453
chrX;128872002;-;cg19227523;;OpenSea;XPNPEP2;NM_003399;TSS1500;;;;;;;TRUE;-0.312775494117647;0.679487578947368;-31.5149505548461;1.38948604435015e-28;1.17011826300982e-24;54.3623188726734
chrX;38663177;+;cg16976875;chrX:38662906-38664764;Island;"MID1IP1;MID1IP1;MID1IP1;MID1IP1";"NM_001098790;NM_021242;NM_021242;NM_001098791";"5'UTR;5'UTR;1stExon;5'UTR";high-CpG:38548112-38548413;;;X:38547860-38550159;X:38662385-38664278;Promoter_Associated_Cell_type_specific;TRUE;0.406635833613445;0.357558526315789;31.4776167239249;1.45033220346622e-28;1.18160103786187e-24;54.3230633084596
chrX;132435532;-;cg09791535;;OpenSea;GPC4;NM_001448;3'UTR;;;;;;;;-0.270526667787115;0.620740326315789;-31.4735711251033;1.45708776454523e-28;1.18160103786187e-24;54.3188062968189
chrX;152772215;+;cg21635956;;OpenSea;BGN;NM_001711;Body;low-CpG:152425186-152425543;;;;;;;-0.255162528011204;0.78486907631579;-31.2910879066517;1.79792790623813e-28;1.43149058518783e-24;54.1261401541377
chrX;73756698;+;cg22682304;chrX:73755645-73756784;Island;;;;;;;X:73672312-73673528;X:73755483-73757165;Unclassified;TRUE;0.397746006302521;0.334347582894737;31.0959057158087;2.25403146764035e-28;1.73637282604358e-24;53.9186560760282
chrX;70447775;-;cg10014219;chrX:70444046-70444270;S_Shelf;BCYRN1;NR_001568;Body;;;;;;;;-0.265296144537815;0.734192431578947;-31.0935690208999;2.26015864400609e-28;1.73637282604358e-24;53.9161632137749
chrX;128784925;-;cg26140100;chrX:128788003-128789195;N_Shelf;APLN;NM_017413;Body;;;;;;;;-0.28333758907563;0.695716118421053;-31.013291404915;2.4813723027508e-28;1.87345320148929e-24;53.8303920429639
chrX;40440170;-;cg10347293;chrX:40439739-40440705;Island;ATP6AP2;NM_005765;TSS200;high-CpG:40325113-40325219;;;X:40324684-40325649;X:40439714-40440364;Promoter_Associated_Cell_type_specific;;0.409919529579832;0.294293761578947;30.9765294990818;2.58997189975903e-28;1.92230348269844e-24;53.7910309717025
chrX;101857177;+;cg08209935;chrX:101854275-101854527;S_Shelf;"ARMCX5;ARMCX5;ARMCX5;ARMCX5;ARMCX5;ARMCX5";"NM_001168482;NM_001168480;NM_001168485;NM_001168479;NM_001168478;NM_022838";"Body;Body;Body;Body;Body;Body";;;;;;;;-0.331175756022409;0.737592113157895;-30.6125172458699;3.96837771906191e-28;2.89628079448015e-24;53.3984269527338
chrX;40444672;+;cg11941773;chrX:40439739-40440705;S_Shelf;ATP6AP2;NM_005765;Body;;;;;;;;-0.234506699159664;0.811633963157895;-30.4698316779021;4.69689431118231e-28;3.37178492859668e-24;53.243105026476
chrX;49017903;+;cg01674874;chrX:49019048-49019334;N_Shore;"MAGIX;MAGIX;MAGIX";"NM_001099681;NM_024859;NM_001099682";"TSS1500;TSS1500;TSS1500";;;;;;;;-0.275209306162465;0.672999128947368;-30.4152160518632;5.01086303579024e-28;3.53915639810434e-24;53.1834374315609
chrX;3733239;+;cg04174838;chrX:3732573-3734579;Island;;;;high-CpG:3743197-3743245;;;;;;;-0.338159954901961;0.648541418421053;-30.2393818622028;6.17594525803784e-28;4.2928113210727e-24;52.9905238763813
chrX;11683125;+;cg06139288;chrX:11682333-11684544;Island;"ARHGAP6;ARHGAP6;ARHGAP6;ARHGAP6";"NM_006125;NM_013427;NM_006125;NM_013427";"1stExon;1stExon;5'UTR;5'UTR";;;;X:11592255-11594177;;;TRUE;0.331822121428571;0.287838132894737;30.1986306208848;6.4835769575322e-28;4.43622544376747e-24;52.9456360073074
chrX;108616697;+;cg26773183;;OpenSea;GUCY2F;NM_001522;3'UTR;;;;;;;;-0.253206889915966;0.807000823684211;-30.1608455228178;6.78285913097096e-28;4.56960176136724e-24;52.9039551367201
chrX;68047992;-;cg19056391;chrX:68048659-68050252;N_Shore;EFNB1;NM_004429;TSS1500;;;;X:67964550-67964959;X:68047578-68048227;Unclassified;;0.3913388232493;0.462176244736842;30.084889883716;7.42809792731303e-28;4.92847544660922e-24;52.8199923496672
chrX;47001792;-;cg12454245;chrX:47003750-47004987;N_Shore;"NDUFB11;NDUFB11;NDUFB11;NDUFB11";"NR_024234;NR_024235;NM_019056;NM_001135998";"Body;Body;Body;Body";;;;;;;;-0.290224790196078;0.777877839473684;-30.0657690959158;7.60023166351011e-28;4.96742066623542e-24;52.7988187755523
chrX;49691109;+;cg03765898;chrX:49687027-49687993;S_Shelf;"CLCN5;CLCN5";"NM_001127898;NM_001127899";"Body;Body";;;;;;;;-0.279972961344538;0.767007947368421;-30.0377909835628;7.85950757384863e-28;5.06133794796855e-24;52.7678100135898
chrX;40000784;-;cg13652795;chrX:40004305-40004536;N_Shelf;"BCOR;BCOR";"NM_001123384;NM_001123383";"5'UTR;5'UTR";;;TRUE;;;;;-0.27984764789916;0.675357028947368;-29.838042150512;9.99474563421569e-28;6.34310013363129e-24;52.5454893604387
chrX;55020520;-;cg05223249;;OpenSea;PFKFB1;NM_002625;TSS200;;;;;;;;-0.344215149019608;0.705395621052632;-29.7594026771356;1.09910862345788e-27;6.87577232352431e-24;52.4575111932482
chrX;54785292;-;cg23210456;;OpenSea;ITIH5L;NM_198510;Body;;;;;;;;-0.269186767787115;0.687500497368421;-29.7243859724363;1.14669840343648e-27;7.07244813603451e-24;52.4182534272372
chrX;69260586;+;cg16831427;;OpenSea;AWAT2;NM_001002254;3'UTR;;;;;;;;-0.244772475910364;0.764078423684211;-29.5965495689591;1.33913342310971e-27;8.14460947935326e-24;52.2744994510463
chrX;51142212;+;cg09971892;chrX:51138953-51139255;S_Shelf;;;;;;;;;;;-0.286441345098039;0.686027678947368;-29.5611546774729;1.39805945250516e-27;8.38651817109341e-24;52.2345762970815
chrX;46694137;-;cg17246697;chrX:46696141-46697075;N_Shelf;;;;;;;;;;;-0.253822129131653;0.749084128947368;-29.5372524518885;1.43935076967655e-27;8.51753323573569e-24;52.2075863266201
chrY;2709598;+;cg01375382;;OpenSea;RPS4Y1;NM_001008;TSS200;low-CpG:2769596-2769649;;;;Y:2709386-2709723;Unclassified_Cell_type_specific;;0.51002745070028;0.545904434210526;29.4389688345934;1.62272260175629e-27;9.47462290932648e-24;52.0963529500283
chrX;151129555;+;cg05880897;;OpenSea;"GABRE;MIR452";"NM_004961;NR_029973";"Body;TSS1500";;;;;;;;-0.303208328011205;0.70164775;-29.0647439060332;2.57044547690874e-27;1.481063626474e-23;51.6690565459268
chrX;73072619;+;cg11717280;;OpenSea;XIST;NR_001564;TSS200;;;;;X:73072417-73072793;Unclassified_Cell_type_specific;;-0.274260751260504;0.749112042105263;-28.9454710781351;2.9797054651898e-27;1.69457784679022e-23;51.5316018404958
chrX;49767916;+;cg26715986;;OpenSea;"CLCN5;MIR188;CLCN5";"NM_001127898;NR_029708;NM_001127899";"Body;TSS200;Body";;;;;;;;-0.250245437254902;0.791119839473684;-28.9191414254201;3.07872216205122e-27;1.72844198673189e-23;51.5011751808906
chrX;69487748;-;cg05587158;;OpenSea;ARR3;NM_004312;TSS1500;;;;;;;;-0.295564860504202;0.734318542105263;-28.9027506604406;3.14206029020047e-27;1.74167185989867e-23;51.482218675452
chrX;2986093;+;cg01080552;;OpenSea;ARSF;NM_004042;5'UTR;;;;;;;;-0.234801576502557;0.736873597999953;-28.7969905461026;3.58418615078732e-27;1.96191181521796e-23;51.359620858455
chrY;7429349;-;cg01086462;chrY:7428179-7428424;S_Shore;;;;;;;;;;;-0.503244328028041;0.407711002022067;-28.780947720934;3.65662501909385e-27;1.97685274365589e-23;51.340981072877
chrX;53111607;-;cg24779040;chrX:53111281-53112016;Island;"TSPYL2;TSPYL2";"NM_022117;NM_022117";"1stExon;5'UTR";high-CpG:53127829-53128333;;;X:53127895-53128983;X:53110760-53112518;Promoter_Associated;;0.324106984453781;0.289316298684211;28.6497440832345;4.30839989996014e-27;2.30081164608798e-23;51.1881130495975
chrX;131356353;-;cg07981033;chrX:131351531-131352535;S_Shelf;;;;;;;;;;;-0.304134056302521;0.715663286842105;-28.5866603231663;4.66308120628095e-27;2.46021917175332e-23;51.1143418096491
chrX;63424140;-;cg08690835;chrX:63424198-63426190;N_Shore;FAM123B;NM_152424;5'UTR;;;;;X:63424120-63424217;Unclassified_Cell_type_specific;;-0.277093371988795;0.680139205263158;-28.5187845456323;5.07828803153647e-27;2.64738409781184e-23;51.0347691210643
chrX;67944616;+;cg24253627;;OpenSea;"STARD8;STARD8;STARD8";"NM_001142503;NM_001142504;NM_014725";"3'UTR;3'UTR;3'UTR";;;;;;;;-0.24640286162465;0.663988821052632;-28.3106805333654;6.60386192446276e-27;3.40218535549405e-23;50.7895180100317
chrX;17755305;+;cg18049750;chrX:17755053-17756648;Island;"SCML1;SCML1;SCML1;SCML1";"NM_001037540;NM_001037536;NM_006746;NM_001037535";"TSS1500;TSS1500;TSS1500;TSS1500";;;;X:17664999-17666033;X:17754866-17756294;Promoter_Associated;;0.324457204453781;0.270189221315789;28.2369810453501;7.25075186029942e-27;3.69201539840995e-23;50.702195195837
chrX;118213543;+;cg27551771;;OpenSea;KIAA1210;NM_020721;3'UTR;;;;;;;;-0.282129207843137;0.736196731578947;-28.2209052476181;7.40028685355723e-27;3.72484507393118e-23;50.6831150998137
chrX;19378921;-;cg22559660;;OpenSea;"MAP3K15;PDHA1";"NM_001001671;NM_000284";"Body;3'UTR";;;;;;;;-0.227673740056022;0.802393036842105;-28.0588635500535;9.09640482467878e-27;4.52653642993879e-23;50.4901335192475
chrX;152062988;-;cg20123374;chrX:152066196-152066811;N_Shelf;;;;;;;;;;;-0.257629487114846;0.700464992105263;-27.868476736256;1.16084087140521e-26;5.71165012305426e-23;50.2618563884315
chrX;3732500;+;cg13976265;chrX:3732573-3734579;N_Shore;;;;;;;;;;;-0.425329001120448;0.585786568421053;-27.8403209755847;1.20362239183024e-26;5.85634510968922e-23;50.2279550239037
chrX;128928771;-;cg05093881;;OpenSea;SASH3;NM_018990;3'UTR;;;;;X:128928724-128928838;Unclassified_Cell_type_specific;;-0.307117324089636;0.763387944736842;-27.757210706774;1.33958398223157e-26;6.44625477093554e-23;50.1276700317625
chrX;48935660;-;cg04137897;chrX:48937435-48937976;N_Shore;"WDR45;WDR45";"NM_007075;NM_001029896";"Body;Body";;;;;;;;-0.203064925770308;0.756257144736842;-27.7006982240185;1.4409439925032e-26;6.85864280536e-23;50.0592953459326
chrX;68059898;-;cg00005617;chrX:68060178-68060558;N_Shore;EFNB1;NM_004429;Body;;;;;;;;-0.283934496826948;0.715815243842476;-27.6422691656443;1.554033610245e-26;7.31739283936264e-23;49.9884446481104
chrX;109564207;-;cg21294096;chrX:109560703-109561534;S_Shelf;AMMECR1;NM_001171689;5'UTR;;;;;;;;-0.237021283193277;0.789352465789474;-27.5873750109622;1.66857613619501e-26;7.77315068451425e-23;49.9217343135505
chrX;47079305;+;cg03995238;chrX:47077163-47078637;S_Shore;"CDK16;CDK16";"NM_033018;NM_006201";"Body;5'UTR";;RDMR;;;X:47079242-47080132;Promoter_Associated_Cell_type_specific;;0.208619156582633;0.318137986842105;27.2494619008163;2.59243284110892e-26;1.19498601142417e-22;49.5079402932455
chrX;62574125;+;cg26117336;chrX:62570952-62571426;S_Shelf;;;;;;;;;;;-0.271498833053221;0.688152894736842;-27.2207480168926;2.6919523397808e-26;1.22793405979101e-22;49.4725270791517
chrX;50653828;-;cg26839325;;OpenSea;BMP15;NM_005448;1stExon;;;;;;;;-0.290127219327731;0.698586513157895;-27.1935642048109;2.78977945528362e-26;1.25943874493456e-22;49.4389643512523
chrX;55187822;+;cg12158214;chrX:55187321-55188007;Island;"FAM104B;FAM104B;FAM104B;FAM104B;FAM104B;FAM104B;FAM104B;FAM104B";"NR_030722;NM_138362;NM_001166700;NM_001166699;NM_001166701;NM_001166702;NM_001166703;NM_001166704";"TSS200;TSS200;TSS200;TSS200;TSS200;TSS1500;TSS1500;TSS200";;;;X:55203967-55204813;X:55187043-55188050;Promoter_Associated;;0.423132268347339;0.350226294736842;27.0638241865459;3.3094247876635e-26;1.47878607369081e-22;49.2782879058528
chrX;67867352;+;cg06408533;;OpenSea;"STARD8;STARD8";"NM_014725;NM_001142503";"TSS200;TSS200";;;;;;;TRUE;0.298005833053221;0.373301710526316;27.0245505195949;3.48555443380609e-26;1.5417557866479e-22;49.2294884854356
chrY;20488293;-;cg04170994;chrY:20488010-20488557;Island;"LOC401630;LOC401629";"NR_002161;NR_002160";"TSS200;TSS200";;;;Y:18946941-18947932;;;;0.46577582184874;0.396705763157895;26.9760905501909;3.71620327218755e-26;1.62734027770401e-22;49.169171092327
chrX;52087706;-;cg09438085;;OpenSea;;;;;DMR;;;;;;-0.269505201120448;0.599380521052632;-26.9677504813187;3.75745002392699e-26;1.62911128245319e-22;49.1587787746269
chrX;133675340;-;cg12030638;chrX:133678595-133679201;N_Shelf;"MIR450A1;MIR450B;MIR450A2";"NR_029962;NR_030587;NR_030227";"TSS1500;TSS1500;TSS1500";;;;;;;;-0.298071041736695;0.684929523684211;-26.9048502201736;4.08404604312291e-26;1.73891386559519e-22;49.0802909770879
chrX;54824559;-;cg15521097;;OpenSea;ITIH5L;NM_198510;1stExon;;;;;;;;-0.23726538767507;0.689167689473684;-26.9037293000341;4.09012313558005e-26;1.73891386559519e-22;49.0788905198821
chrX;129088594;+;cg09370183;chrX:129086636-129087488;S_Shore;;;;;RDMR;;;X:129088541-129088646;Unclassified_Cell_type_specific;;-0.240925599159664;0.79538797631579;-26.6550062026264;5.69676766166047e-26;2.38739704745276e-22;48.7666086613598
chrX;153697531;-;cg02438576;chrX:153695618-153695844;S_Shore;PLXNA3;NM_017514;Body;;;;;;;;-0.281737624089636;0.718105868421053;-26.6513804537537;5.7244667777079e-26;2.38739704745276e-22;48.7620337202704
chrX;100447575;+;cg17654284;chrX:100446240-100446737;S_Shore;;;;;;;;;;;-0.279097727170868;0.6982676;-26.5526620413528;6.5341522406842e-26;2.69936924792884e-22;48.6372195447089
chrX;69641858;+;cg09764075;;OpenSea;"GDPD2;GDPD2;GDPD2;GDPD2";"NM_001171192;NM_017711;NM_001171193;NM_001171191";"TSS1500;TSS1500;TSS1500;TSS1500";;;TRUE;;;;;-0.243517343977591;0.701507231578947;-26.3939383163796;8.09043006783527e-26;3.30457037435611e-22;48.4355130792956
